Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
possibly,descriptor,525,this could be due to a a postoperative abscess or possibly recurrent tumor .,certainty,possibly_present,possibly_present,,
9 mm,descriptor,524,"left convexity subdural hematoma has decreased in size , now measuring up to 9 mm in thickness ( previously 10 mm ) , with significantly less blood overlying the left frontal and temporal lobes .",size,numeric,numeric,,
mixed density,descriptor,434,"brain : small mixed density right cerebral convexity subdural hematoma measuring up to 3 mm thickness , decreased from 8 mm thickness on 7 / 18 / 2005 head ct .",density,mixed,mixed,,
hypodense,descriptor,377,stable small hypodense focus in the region of the left anterior periventricular white matter is likely due to prior lacunar ischemia .,density,hypodense,hypodense,,
2 mm,descriptor,373,"mild left hemispheric sulcal effacement , predominantly in the parietal region , is similar to the prior study . 2 mm of rightward midline shift does not appear significantly changed , although there does appear to be slightly less effacement of the lateral ventricles .",size,numeric,numeric,,
10 mm,descriptor,352,rightward midline shift has decreased from up to 15 mm preoperatively to now 10 mm .,size,numeric,numeric,,
larger,descriptor,348,"asymmetry in the lateral ventricles , left larger than right , is felt to be developmental .",change,increase,increase,,
11 mm,descriptor,330,the left frontal extra-axial fluid collection measures a maximum of 11 mm on image #13 of series 2 .,size,numeric,numeric,,
1 cm,descriptor,318,symmetric normal appearance of the cavernous sinus . 1 cm extra-axial calcification occipital region intimately related to the right transverse sinus may represent a small meningioma with mild local mass effect without significant surrounding edema .,size,numeric,numeric,,
multifocal,descriptor,315,stable multifocal encephalomalacia in the right cerebral hemisphere including right frontal operculum and right occipital lobe .,distribution,multifocal,multifocal,,
12 mm,descriptor,296,"above the level of the ventricles , there is a rounded focus of hyperattenuation adjacent to the inner table of the skull measuring 12 mm in the right anterior parietal lobe .",size,numeric,numeric,,
gas,descriptor,281,there is some gas within the frontal horn of the left lateral ventricle .,composition,gas,gas,,
13 mm,descriptor,241,brain : 13 mm right subdural hematoma and 6 mm left subdural hematoma are unchanged .,size,numeric,numeric,,
increasing,descriptor,218,"the patient's large left-sided intraparenchymal hemorrhage has increased further in size , measuring approximately 10 . 1 x 6 . 7 cm , with increasing surrounding vasogenic edema .",change,increase,increase,,
heterogeneous,descriptor,211,"there is no evidence of fracture; the heterogeneous appearance of the calvarium is nonspecific , though metastatic disease cannot be entirely excluded .",homogeneity,heterogeneous,heterogeneous,,
15 mm,descriptor,195,rightward midline shift has decreased from up to 15 mm preoperatively to now 10 mm .,size,numeric,numeric,,
empty,descriptor,191,partially empty pituitary sella .,occupancy,empty,empty,,
left-to-right,descriptor,189,"nearly resolved left ventricular entrapment , mild residual hydrocephalus . 6 mm left-to-right midline shift .",direction,left_to_right,left_to_right,,
14 mm,descriptor,178,midline shift of 14 mm noted .,size,numeric,numeric,,
2 cm,descriptor,167,"grossly , these appear of similar size measuring 1 . 7 cm anterior right frontal region , 2 cm superior right convexity and 1 . 6 cm anterior left frontal region .",size,numeric,numeric,,
numerous,descriptor,160,"there are numerous small periventricular white matter lucencies in both cerebral hemispheres primarily in the frontal lobes consistent with small vessel ischemic disease , chronic .",quantity,qualitative,multiple,,
isodense,descriptor,158,"a large but isodense rounded right operculum region extra-axial mass is evident with size estimated at 6 cm diameter ( series 32 , image 16 and coronal image 43 ) .",density,isodense,isodense,,
resolution,descriptor,150,there has been interval resolution of the previously seen diffuse white matter hypodensities .,change,resolution,resolution,,
age-indeterminate,descriptor,144,new age-indeterminate but probably chronic bilateral cerebellar infarcts .,temporality,age_indeterminate,age_indeterminate,,
localized,descriptor,141,mild surrounding edema and localized mass effect with sulcal effacement .,distribution,localized,localized,,
1.5 cm,descriptor,138,there is approximately 1 . 5 cm of rightward midline shift at the level of the thalami .,size,numeric,numeric,,
a few,descriptor,126,vascular : unremarkable skull : intact sinuses / orbits : opacification of a few ethmoid air cells and inferior left frontal sinus .,quantity,qualitative,multiple,,
16 mm,descriptor,124,previously it was 16 mm .,size,numeric,numeric,,
worsening,descriptor,118,worsening frontal sinusitis .,change,worsening,worsening,,
lobulated,descriptor,118,small mucous retention cyst or sinus lobulated thickening right maxillary sinus .,shape,irregular,lobulated,,
1.6 cm,descriptor,112,hypodense collection overlying the high left parietal region is slightly more prominent measuring 1 . 6 cm ( previously 13 . 4 mm ) .,size,numeric,numeric,,
1.2 cm,descriptor,108,"right collection was 1 . 5 cm , now 1 . 2 cm .",size,numeric,numeric,,
18 mm,descriptor,108,18 mm extra-axial mass within the foramen magnum is unchanged from recent exams .,size,numeric,numeric,,
decreasing,descriptor,106,brain : hematoma resection cavity with decreasing gas since 3 / 14 / 2005 .,change,decrease,decrease,,
single,descriptor,105,there is opacification of a single ethmoid air cell on the right .,quantity,qualitative,single,,
right-to-left,descriptor,104,there is 3 mm of right-to-left midline shift associated with the residual hemorrhage .,direction,right_to_left,right_to_left,,
hyperattenuation,descriptor,103,"above the level of the ventricles , there is a rounded focus of hyperattenuation adjacent to the inner table of the skull measuring 12 mm in the right anterior parietal lobe .",density,hyperdense,hyperdense,,
1.4 cm,descriptor,102,mucous retention cyst or polyp in the anterior aspect of the left maxillary sinus measuring 1 . 4 cm in diameter incidentally noted .,size,numeric,numeric,,
round,descriptor,102,"nonspecific sclerotic round foci within the t2 vertebral body are not aggressive in appearance , likely bone islands .",shape,regular,spherical,,
17 mm,descriptor,101,"this is [date] mm in thickness , versus 17 mm previously .",size,numeric,numeric,,
1.7 cm,descriptor,97,"grossly , these appear of similar size measuring 1 . 7 cm anterior right frontal region , 2 cm superior right convexity and 1 . 6 cm anterior left frontal region .",size,numeric,numeric,,
1.3 cm,descriptor,96,the previously demonstrated 1 . 3 cm right lateral subdural hematoma continues to measure 1 . 3 cm in maximum thickness .,size,numeric,numeric,,
sclerotic,descriptor,94,"nonspecific sclerotic round foci within the t2 vertebral body are not aggressive in appearance , likely bone islands .",composition,solid,sclerotic,,
1.1 cm,descriptor,87,"there is an approximately 1 . 1 cm area of mixed attenuation within the right suprahilar hemisphere ( coronal image 52 , series 5 ) , with associated minimal amount of surrounding vasogenic edema but without associated mass effect , not definitely seen on prior examinations .",size,numeric,numeric,,
indeterminate age,descriptor,87,hypodensity posterior limb internal capsule left was not present previously and is consistent with infarct of indeterminate age .,temporality,age_indeterminate,age_indeterminate,,
complex,descriptor,85,complex bilateral subdural hematomas with septations suggestive of acute on top of chronic hemorrhage .,complexity,complex,complex,,
3 cm,descriptor,84,"along the right lateral convexity , there is a roughly 3 cm mass , extra-axial , projecting into the sylvian fissure , consistent with the patient's known meningioma .",size,numeric,numeric,,
mixed,descriptor,83,"skull : skull expansion with mixed areas of lucency and sclerosis at the skullbase , likely fibrous dysplasia , stable from the prior head ct .",composition,mixed,mixed,,
worsened,descriptor,82,periventricular white matter disease has worsened compared to the prior study .,change,worsening,worsening,,
1.8 cm,descriptor,81,"there is a 1 . 8 cm hyperdensity now seen at the right basal ganglia , concerning for parenchymal hemorrhage .",size,numeric,numeric,,
oval,descriptor,78,a 2 . 2 x 1 . 3 cm oval extra-axial csf density collection anterior to the left frontal lobe may represent a small arachnoid cyst .,shape,regular,spherical,,
2.5 cm,descriptor,76,"there is evidence of multiple prior craniotomies with a stable 2 . 5 cm calcified lesion in the left temporal lobe , probably representing a thrombosed aneurysm .",size,numeric,numeric,,
19 mm,descriptor,73,despite the subdural drain there remains a large mixed density left subdural collection up to 19 mm in thickness .,size,numeric,numeric,,
6 mm in thickness,descriptor,71,"subjacent to this fracture is a small , acute epidural hematoma measuring approximately 6 mm in thickness ( series 2 , image 18 ) .",size,numeric,numeric,,
air,descriptor,70,"however , there is air more centrally in the middle ear .",composition,gas,gas,,
approximately 3 mm,descriptor,69,mild associated mass effect with approximately 3 mm of rightward midline shift .,size,numeric,numeric,,
1 mm,descriptor,68,ventricle size is normal . 1 mm hyperdensity in the third ventricle is unchanged and may be calcification .,size,numeric,numeric,,
2.2 cm,descriptor,67,this measures 2 . 2 cm in diameter and indents the anterior aspect of the temporal lobe .,size,numeric,numeric,,
ovoid,descriptor,65,"ovoid csf density structure along the high posterior left frontal lobe , measuring 4 . 1 x 2 . 6 cm in transaxial dimensions , unchanged in size as compared to the prior mri of 9 / 11 / 1990 and compatible with an arachnoid cyst .",shape,regular,spherical,,
2.1 cm,descriptor,61,severe mass effect with severe effacement of the left lateral ventricle and 2 . 1 cm rightward midline shift .,size,numeric,numeric,,
1.9 cm,descriptor,61,calvarium : there is a 1 . 9 cm left frontal scalp hematoma .,size,numeric,numeric,,
mucosal,descriptor,56,mucosal edema in the paranasal sinuses .,component_involved,mucosal,mucosal,,
5 mm in thickness,descriptor,53,interval development of a right parafalcine subdural hemorrhage measuring 5 mm in thickness .,size,numeric,numeric,,
2.3 cm,descriptor,50,"mixed density left subdural collection was 2 . 3 cm , now 1 . 7 cm .",size,numeric,numeric,,
2.4 cm,descriptor,50,maximum coronal thickness is 2 . 4 cm and there is effacement of the left-sided sulci and 9 mm left right midline shift .,size,numeric,numeric,,
2.8 cm,descriptor,50,brain : 2 . 8 cm right cp angle cistern mass extending into internal auditory canal compatible with vestibular schwannoma and better characterized on the prior mri of the head .,size,numeric,numeric,,
petechial,descriptor,50,"evidence of petechial hemorrhage in the form of stippled hyperdensity ( series 21 , image 5 ) .",distribution,petechial,petechial,,
hemorrhagic,descriptor,49,no hemorrhagic extra-axial fluid collections are seen .,composition,fluid,hemorrhagic,,
2.6 cm,descriptor,47,"there is an epidural hematoma in the left parietal region measuring 2 . 9 cm from superior to inferior , 2 . 6 cm from anterior to posterior , and 0 . 9 cm from right to left .",size,numeric,numeric,,
4 mm in thickness,descriptor,47,small extra-axial fluid collection immediately subjacent to the craniotomy is likely extradural and measures 4 mm in thickness .,size,numeric,numeric,,
approximately 4 mm,descriptor,47,thickness of this small subdural hematoma is approximately 4 mm .,size,numeric,numeric,,
9 mm in thickness,descriptor,44,"left convexity subdural hematoma has decreased in size , now measuring up to 9 mm in thickness ( previously 10 mm ) , with significantly less blood overlying the left frontal and temporal lobes .",size,numeric,numeric,,
circumscribed,descriptor,44,the there is a focal rounded circumscribed structure in the left posterior frontal region .,margin,well_defined,well_defined,,
7 mm in thickness,descriptor,44,brain : there is an extra-axial hyperdense fluid collection noted in the left parietal region best seen on coronal imaging measuring up to 7 mm in thickness compatible with subdural hematoma .,size,numeric,numeric,,
8 mm in thickness,descriptor,43,"subdural hematoma along the left aspect of the falx posteriorly in the parietal region and extending along the tentorium has also mildly decreased in size , measuring up to 8 mm in thickness ( previously 9 mm ) .",size,numeric,numeric,,
2.7 cm,descriptor,43,"this includes posterior left frontal - parietal lobe 3 cm ring-enhancing lesion , posterior right frontal lobe 2 . 7 cm enhancing lesion and right basal ganglia 3 . 2 cm enhancing lesion .",size,numeric,numeric,,
approximately 5 mm,descriptor,40,"left-to-right midline shift , approximately 5 mm .",size,numeric,numeric,,
3 mm in thickness,descriptor,39,"subdural fluid collection over the right cerebral convexity has nearly completely resolved , with a thin residual collection measuring up to 3 mm in thickness just anterior to the craniotomy .",size,numeric,numeric,,
1.0 cm,descriptor,38,midline shift more superiorly at the level of the bodies of the lateral ventricles measures 1 . 0 cm .,size,numeric,numeric,,
5 mm intervals,descriptor,37,axial tomograms are taken through the head at 5 mm intervals .,size,numeric,numeric,,
22 mm,descriptor,37,"brain : subdural hematoma around the right cerebral convexity has a similar size , measuring up to maximum of 22 mm in thickness in the right frontal region , but has overall decreasing high-density component , expected evolution .",size,numeric,numeric,,
improving,descriptor,37,focal area of acute intraparenchymal hemorrhage with surrounding edema in the right posterior parietal region is improving since the previous study .,change,improvement,improvement,,
well defined,descriptor,37,these areas are well defined .,margin,well_defined,well_defined,,
previously 10 mm,descriptor,36,"left convexity subdural hematoma has decreased in size , now measuring up to 9 mm in thickness ( previously 10 mm ) , with significantly less blood overlying the left frontal and temporal lobes .",size,numeric,numeric,,
calcific density,descriptor,36,calcific density posterior to the spinous processes of c[date] may represent remote injury .,composition,solid,calcified,,
previously 8 mm,descriptor,36,brain : there has been interval increase in the size of the left parafalcine subdural hemorrhage now measuring approximately 12 mm along the anterior falx ( previously 8 mm ) .,size,numeric,numeric,,
cleared,descriptor,36,"for the most part , right-sided subdural hematoma / collection has cleared .",change,resolution,resolution,,
approximately 1 cm,descriptor,35,"there is an ill-defined approximately 1 cm area of prominent hypoattenuation , asymmetric , affecting the right frontal subcortical and periventricular white matter .",size,numeric,numeric,,
previously 7 mm,descriptor,35,maximum thickness is approximately 5 mm along the left frontal lobe ( previously 7 mm ) .,size,numeric,numeric,,
4 cm,descriptor,34,"the patient's large 4 cm right inferior frontal lobe meningioma is relatively stable in appearance , with diffuse surrounding vasogenic edema and associated mass effect and 5 mm of midline shift .",size,numeric,numeric,,
2.0 cm,descriptor,32,index hematoma in the inferior left frontal lobe measures 1 . 8 cm compared to 2 . 0 cm .,size,numeric,numeric,,
previously 6 mm,descriptor,32,mild mass effect upon the right hemisphere with compression of the right lateral ventricle and 8 mm of right to left midline shift previously 6 mm .,size,numeric,numeric,,
0.5 cm,descriptor,31,air and fluid collection over the left cerebral convexities is decreased in size measuring only approximately 0 . 5 cm in thickness compared to 1 . 4 cm on the prior study .,size,numeric,numeric,,
previously 5 mm,descriptor,30,"ventricles slightly increasing ventriculomegaly; anterior recess of third ventricle is 7 mm , previously 5 mm .",size,numeric,numeric,,
0.8 cm,descriptor,29,this area measures 0 . 6 cm and previously measured 0 . 8 cm .,size,numeric,numeric,,
3.5 cm,descriptor,28,there is heterogeneous mass in right basal ganglia just lateral to caudate no gross measures at least 3 . 5 cm .,size,numeric,numeric,,
approximately 2 mm,descriptor,28,"improvement in midline shift , now approximately 2 mm .",size,numeric,numeric,,
4.5 cm,descriptor,27,"at the site of swelling and palpable concern in the right occipital scalp , a csf attenuation fluid collection is identified , 4 . 5 cm transverse , 3 . 1 cm thick , and extending suboccipital for total craniocaudal length of nearly 8 cm , compatible with a pseudomeningocele .",size,numeric,numeric,,
5 cm,descriptor,27,skeleton : approximately 5 cm lipoma along the right sub scapularis muscle .,size,numeric,numeric,,
4.5 mm,descriptor,26,midline shift is stable to slightly improved at 4 . 5 mm .,size,numeric,numeric,,
well circumscribed,descriptor,26,this appears well circumscribed and nonacute .,margin,well_defined,well_defined,,
3.2 cm,descriptor,25,"this includes posterior left frontal - parietal lobe 3 cm ring-enhancing lesion , posterior right frontal lobe 2 . 7 cm enhancing lesion and right basal ganglia 3 . 2 cm enhancing lesion .",size,numeric,numeric,,
previously 12 mm,descriptor,25,leftward midline shift has mildly increased to 13 mm ( previously 12 mm ) .,size,numeric,numeric,,
2.9 cm,descriptor,24,"there is an epidural hematoma in the left parietal region measuring 2 . 9 cm from superior to inferior , 2 . 6 cm from anterior to posterior , and 0 . 9 cm from right to left .",size,numeric,numeric,,
0.9 cm,descriptor,24,"there is an epidural hematoma in the left parietal region measuring 2 . 9 cm from superior to inferior , 2 . 6 cm from anterior to posterior , and 0 . 9 cm from right to left .",size,numeric,numeric,,
20 mm,descriptor,24,together these now measure up to 20 mm ( previously 10 mm ) .,size,numeric,numeric,,
0.6 cm,descriptor,24,this results in mild midline shift from right-to-left measuring 0 . 6 cm .,size,numeric,numeric,,
0.7 cm,descriptor,24,other : new 0 . 7 cm soft tissue nodule overlying the right frontal calvarium .,size,numeric,numeric,,
6.5 mm,descriptor,24,"a new 6 . 5 mm focus of hemorrhage is noted over the high left convexity , likely subarachnoid .",size,numeric,numeric,,
4.4 mm,descriptor,23,"there is also less shift of midline structures from right to left , currently measuring 4 . 4 mm .",size,numeric,numeric,,
malignant,descriptor,23,sequelae of right mca infarct with malignant hemorrhage in the right basal ganglia .,malignancy_status,definitely_malignant,definitely_malignant,,
homogeneous,descriptor,23,there is increased homogeneous symmetric density within the caudate nuclei and the putamen bilaterally which was not present on the 1 / 10 / 1998 ct of the head .,homogeneity,homogeneous,homogeneous,,
21 mm,descriptor,23,"parenchymal hemorrhages within the bilateral occipital poles is stable , including a 21 mm hematoma on the right and a 27 x 17 mm hematoma on the left .",size,numeric,numeric,,
acute on chronic,descriptor,22,sinuses / orbits : maxillary sinus air-fluid levels compatible with acute on chronic sinusitis .,temporality,acute_on_chronic,acute_on_chronic,,
approximately 9 mm,descriptor,22,"mixed attenuation extra-axial fluid is again seen along the right cerebral hemisphere , measuring up to approximately 9 mm in thickness .",size,numeric,numeric,,
approximately 6 mm,descriptor,22,"brain : redemonstration of hyperdense extra-axial fluid overlying the right parietal region with the greatest thickness approximately 6 mm , unchanged .",size,numeric,numeric,,
previously 9 mm,descriptor,21,"subdural hematoma along the left aspect of the falx posteriorly in the parietal region and extending along the tentorium has also mildly decreased in size , measuring up to 8 mm in thickness ( previously 9 mm ) .",size,numeric,numeric,,
10 mm in thickness,descriptor,21,there is a new broad-based posterior and superior scalp hematoma measuring up to 10 mm in thickness .,size,numeric,numeric,,
previously 4 mm,descriptor,21,"the component along the right convexity now measures 3 mm , previously 4 mm .",size,numeric,numeric,,
simple,descriptor,20,"underlying the marker , there is a simple lipoma measuring 3 . 8 x 0 . 8 cm in the axial plane .",complexity,simple,simple,,
3.5 mm,descriptor,20,brain : broad-based right convexity subdural hematoma measuring up to 3 . 5 mm .,size,numeric,numeric,,
3.3 cm,descriptor,20,maximal craniocaudal is 3 . 3 cm for a 26 cc volume .,size,numeric,numeric,,
very large,descriptor,19,brain : there is a very large acute parenchymal hemorrhage centered within the left frontal lobe and left basal ganglia measuring 8 . 6 x 7 . 5 x 7 . 2 cm .,size,qualitative,very_large,,
csf,descriptor,19,enlargement of the sella filled with csf compatible with empty sella .,composition,fluid,csf,,
5 mm thick,descriptor,18,"much smaller collection of subdural fluid on the right , 3 mm as seen in the frontal interhemispheric fissure , but hyperdense along the right tentorium , up to 5 mm thick .",size,numeric,numeric,,
4.3 cm,descriptor,18,left posterior parietal lobe gasca 4 . 3 cm mass in maximum diameter is noted with adjacent edema .,size,numeric,numeric,,
0.4 cm,descriptor,18,there is a tiny subdural hematoma on the right measuring 0 . 4 cm in diameter .,size,numeric,numeric,,
7.5 mm,descriptor,18,the right-sided subdural collection is smaller in the interval with a maximum dimension of 7 . 5 mm today versus 9 . 5 mm previously .,size,numeric,numeric,,
0.3 cm,descriptor,18,smaller extra-axial collection is present on the left demonstrating low intermediate attenuation also compatible with hygroma and measures 0 . 5 cm in thickness compared to approximate 0 . 3 cm on the prior study .,size,numeric,numeric,,
previously 15 mm,descriptor,18,"brain : redemonstration of the mixed age extra-axial blood products across the left frontal convexity which appear decreased in size from the prior exam now measuring up to a maximal thickness of 9 mm , previously 15 mm at a similar level .",size,numeric,numeric,,
23 mm,descriptor,18,maximum thickness is 23 mm right and 19 mm left .,size,numeric,numeric,,
approximately 7 mm,descriptor,18,low lying cerebellar tonsils which extends approximately 7 mm inferior to the foramen magnum .,size,numeric,numeric,,
9.5 mm,descriptor,17,"there is no significant change in the lobular opacification in the posteromedial / inferior aspect of the partially visualized right maxillary sinus measuring up to 9 . 5 mm suggestive of focal mucosal thickening , mucoid retention cyst or polyp , otherwise , the visualized paranasal sinuses and mastoid air cells are clear .",size,numeric,numeric,,
previously 13 mm,descriptor,17,"stable right holohemispheric heterogeneous subdural fluid collection measures 15 mm in transaxial dimension . 12 mm of right to left midline shift , previously 13 mm .",size,numeric,numeric,,
previously 14 mm,descriptor,17,mixed density posterior left subdural hematoma is stable to mildly decreased measuring up to 12 mm in thickness ( previously 14 mm ) . 5 mm of rightward midline shift is stable without significant mass effect on the ventricles or ventriculomegaly .,size,numeric,numeric,,
3 mm thick,descriptor,17,"small high attenuation right frontoparietal acute subdural hematoma up to 3 mm thick , new since previous exam .",size,numeric,numeric,,
previously 3 mm,descriptor,17,"there is slightly increased effacement of the right lateral ventricle and minimally increased leftward midline shift , now measuring 5 mm ( previously 3 mm ) .",size,numeric,numeric,,
3.8 cm,descriptor,17,there is a stable 3 . 8 cm right-sided intraparenchymal cyst .,size,numeric,numeric,,
5 mm thickness,descriptor,17,there also a falcine subdural hematoma towards the vertex measuring 5 mm thickness .,size,numeric,numeric,,
approximately 2 cm,descriptor,17,a small extra-axial csf collection anteriorly in the left middle cranial fossa measures approximately 2 cm and is consistent with an unchanged arachnoid cyst .,size,numeric,numeric,,
6 cm,descriptor,16,"central csf space currently measures 6 cm , compared to 5 . 5 cm on prior study .",size,numeric,numeric,,
measuring up to 4 mm,descriptor,16,"subdural hematoma overlying the anterior right cerebral hemisphere is unchanged , again measuring up to 4 mm .",size,numeric,numeric,,
4 mm thick,descriptor,16,"this measures 4 mm thick , minimally decreased from 5 mm on previous study .",size,numeric,numeric,,
2 mm in thickness,descriptor,16,stable right paramedian interhemispheric subdural hematoma measuring 2 mm in thickness without significant mass effect .,size,numeric,numeric,,
50 ml,descriptor,16,estimated hemorrhage volume is 50 ml .,size,numeric,numeric,,
5.6 mm,descriptor,16,left frontal collection and vasogenic edema cause mass effect upon the left lateral ventricle with midline shift to the right by 5 . 6 mm .,size,numeric,numeric,,
7 cm,descriptor,16,there is a large left forehead and scalp hematoma measuring 12 mm in thickness and almost 7 cm transverse .,size,numeric,numeric,,
5.5 mm,descriptor,16,midline shift at the foramen of oliveros has decreased from 5 . 5 mm to 4 . 3 mm .,size,numeric,numeric,,
solitary,descriptor,16,opacification of a solitary right middle ethmoid air cell .,quantity,qualitative,single,,
3.1 cm,descriptor,16,"the intraparenchymal hematoma centered in the left thalamus and basal ganglia is no larger , with a hyperdense component measuring 3 . 1 cm in diameter .",size,numeric,numeric,,
