Entity,Entity Type,Count,Mapped Entity,Similarity
scalp,anatomy,4329,Scalp,0.9900720760668184
deep white matter,anatomy,4180,White matter of neuraxis,0.8445915901483594
mastoid,anatomy,4163,Left mastoid process,0.8472552932388733
cerebellar,anatomy,4066,Cerebellum,0.9329171499108629
parenchymal,anatomy,3992,Nonparenchymatous organ,0.7005917757623573
right,anatomy,3953,Right side of head,0.6423782855879758
cervical spine,anatomy,3928,Axial skeletal system,0.7200767501090715
left maxillary sinus,anatomy,3675,Left maxillary sinus,0.9305198902308216
right maxillary sinus,anatomy,3649,Right maxillary sinus,0.9650207653128916
carotid siphons,anatomy,3648,Carotid siphon,0.899089794715956
cerebral hemispheres,anatomy,3505,Cerebral hemisphere,0.936058949435476
fourth ventricle,anatomy,3489,Fourth ventricle,0.9646249425815797
osseous,anatomy,3461,Irregular bone,0.8258626017041659
visualized orbits,anatomy,3339,Orbital cavity,0.7483933235466684
ethmoid air cells,anatomy,3284,Left anterior ethmoidal cell,0.7709924468705353
left,anatomy,3165,Left side of head,0.6004737030223894
lateral ventricles,anatomy,3118,Lateral ventricle,0.9524289490803163
orbital soft tissues,anatomy,3041,Superficial fascia of orbital part of face,0.7629252522924483
scalp soft tissues,anatomy,3018,Integument of scalp,0.8452298069601473
ventricular system,anatomy,2995,Ventricular system of brain,0.8032473625707579
right frontal,anatomy,2863,Right side of frontal bone,0.8628496172016844
intra-axial,anatomy,2844,Vasculature of left maxilla,0.5796113378665003
gray-white matter differentiation,anatomy,2674,Gray matter of neuraxis,0.6474152600053038
vascular territory,anatomy,2376,Wall of artery,0.6165657617750161
visualized paranasal sinuses,anatomy,2368,Paranasal sinus,0.7209274756605227
bony,anatomy,2358,Bony part of bone organ,0.8323804722660936
left basal ganglia,anatomy,2291,Left thalamus,0.7245978149364674
brain parenchyma,anatomy,2275,Cardinal segment of brain,0.7809406235958429
subcortical white matter,anatomy,2251,White matter of neuraxis,0.8362265942730255
visualized osseous structures,anatomy,2224,Flat bone,0.5855026268580183
posterior fossa,anatomy,2191,Subarachnoid fossa,0.8119323546410546
right basal ganglia,anatomy,2179,Right thalamus,0.7214758748919382
cerebral volume,anatomy,2130,Cavity of brain,0.7292984179806951
left frontal,anatomy,2124,Left side of frontal bone,0.8551604838919626
internal capsule,anatomy,2057,Capsule of lens,0.7920558940592616
insula,anatomy,2053,Left insula,0.84738743719418
middle ears,anatomy,2049,Middle ear,0.9490330576667542
cerebral white matter,anatomy,2032,White matter of neuraxis,0.8941892562224297
cisterns,anatomy,1973,Superior cistern,0.8701160113994166
lentiform nuclei,anatomy,1957,Linear nucleus,0.7520955156995813
paranasal sinus,anatomy,1950,Paranasal sinus,0.979547759182011
orbital contents,anatomy,1946,Orbital content,0.9289462010994428
caudate,anatomy,1936,Wall of cerebral aqueduct,0.5036349841207653
ocular globes,anatomy,1929,Eyeball,0.8794247550291873
ventricle,anatomy,1922,Cerebral ventricle,0.7296934047028895
right lateral ventricle,anatomy,1909,Right lateral ventricle,0.9478997222454373
right frontal lobe,anatomy,1887,Right frontal lobe,0.9837869269139693
m4-m6 cortex,anatomy,1875,Medial segment of cerebral hemisphere,0.4989567145118573
m1-m3 cortex,anatomy,1874,Medial segment of cerebral hemisphere,0.641432576057815
maxillary sinuses,anatomy,1870,Maxillary sinus,0.9577632517752118
bones,anatomy,1866,Irregular bone,0.8707598509878633
centra semiovale,anatomy,1684,Third ventricle,0.4994590830814827
left lateral ventricle,anatomy,1657,Left lateral ventricle,0.9481232007597509
bone windows,anatomy,1636,Irregular bone,0.6883168621918059
left frontal lobe,anatomy,1598,Left frontal lobe,0.9819592156654897
subarachnoid spaces,anatomy,1576,Subarachnoid space,0.9297318678176614
visualized portions of the orbits,anatomy,1542,Orbital cavity,0.6211414791931037
intraventricular,anatomy,1540,Cerebral ventricle,0.6272584058881382
subarachnoid,anatomy,1466,Subarachnoid space of neuraxis,0.7954007787599093
orbit,anatomy,1412,Orbital compartment,0.8306072267366363
extracranial soft tissues,anatomy,1412,Subdivision of cranial dura mater,0.6376625633639885
soft tissues,anatomy,1398,Superficial fascia,0.7032839557197773
left sphenoid sinus,anatomy,1371,Left sphenoidal sinus,0.9518505723138911
gray-white matter junctions,anatomy,1362,Set of gray matter structures of neuraxis,0.6673099209162745
middle ear cavities,anatomy,1345,Tympanic cavity,0.8501095600688126
orbital,anatomy,1345,Orbital cavity,0.8309722615679206
cerebrovascular,anatomy,1341,Posterior cerebral artery,0.6889287625589847
deep cerebral white matter,anatomy,1326,White matter of neuraxis,0.8174795588539248
subdural,anatomy,1317,Subdural space,0.8683886487732753
ethmoid,anatomy,1285,Ethmoid,0.9781507447368138
sphenoid sinus,anatomy,1282,Sphenoidal sinus,0.9357179197832319
carotid siphon,anatomy,1278,Carotid siphon,0.9545001108540822
both cerebral hemispheres,anatomy,1277,Cerebral hemisphere,0.8048881178889481
middle ear,anatomy,1247,Middle ear,0.9875216681457237
sinus,anatomy,1218,Paranasal sinus,0.8214001103937236
deep,anatomy,1216,Subdivision of deep fascial system,0.4551480358098072
right sphenoid sinus,anatomy,1149,Right sphenoidal sinus,0.9439790993676537
supratentorial,anatomy,1118,Oral mucosa of hard palate,0.7783837044425119
internal carotid arteries,anatomy,1111,Internal carotid artery,0.9529359742634452
left thalamus,anatomy,1106,Left thalamus,0.9831320138940826
thalami,anatomy,1097,Thalamic complex,0.8144731638012925
base of the brain,anatomy,1090,Cardinal segment of brain,0.8127081218072474
right parietal,anatomy,1070,Right parietal part of head,0.8278746535346747
ethmoid sinuses,anatomy,1042,Ethmoidal sinus,0.9667705736881477
major vessels,anatomy,1033,Systemic artery,0.7025513006322812
extraaxial,anatomy,1029,Organ cluster,0.5558700394390614
sphenoid sinuses,anatomy,1027,Sphenoidal sinus,0.9266250450202311
right thalamus,anatomy,1003,Right thalamus,0.9664722427073693
gray-white compartments,anatomy,998,Reticular formation,0.6268793068262968
osseous skull,anatomy,983,Set of bones of skull,0.8877994426671451
gray-white differentiation,anatomy,982,Reticular formation,0.5288904241554265
pons,anatomy,941,Pons,0.9496188831909346
frontal sinuses,anatomy,939,Frontal sinus,0.9595565781168777
skullbase,anatomy,932,Skull,0.8488255578798745
csf spaces,anatomy,920,Cerebral epidural space,0.8114082308380002
visualized sinuses,anatomy,917,Confluence of sinuses,0.6579307909257837
vertex,anatomy,910,Crown of head,0.683899508497782
left mastoid air cells,anatomy,907,Mastoid air cell of left temporal bone,0.9163268729352779
dural venous sinuses,anatomy,897,Dural venous sinus,0.9478279637719417
vertebral arteries,anatomy,894,Vertebral artery,0.9687066080432997
left occipital lobe,anatomy,863,Left occipital lobe,0.962038094266973
large vessel territory,anatomy,862,Systemic artery,0.5090364782449954
right mastoid air cells,anatomy,855,Mastoid air cell of right temporal bone,0.9283910078506309
cerebral peduncles,anatomy,847,Cerebral peduncle,0.9625148785823985
major intracranial arteries,anatomy,847,Anterior cerebral artery,0.8177729843647429
sulcal,anatomy,833,Olfactory sulcus,0.5387309518882765
gray-white matter,anatomy,818,Subcortical gray matter,0.8155339878956303
left parietal,anatomy,811,Left parietal part of head,0.8399910538440883
midline structures,anatomy,801,Midline region of external nose,0.5795993455580979
right frontal scalp,anatomy,798,Frontal zone of scalp,0.8192919852497508
right parietal lobe,anatomy,797,Right parietal lobe,0.9817273981653207
soft tissue,anatomy,789,Superficial fascia,0.7141666776208537
right occipital lobe,anatomy,782,Right occipital lobe,0.9666379844251238
vessels,anatomy,761,Wall of artery,0.6325377832023857
ethmoid sinus,anatomy,756,Ethmoidal sinus,0.9822573832344835
visualized skull base,anatomy,744,Skull,0.706207684554673
left frontal scalp,anatomy,739,Frontal zone of scalp,0.8111478864031025
right temporal lobe,anatomy,729,Right temporal lobe,0.9863439265951603
cavernous internal carotid arteries,anatomy,728,Cavernous branch of internal carotid artery,0.9393877777519706
corona radiata,anatomy,728,Neocortex,0.4833856203736948
bone,anatomy,711,Irregular bone,0.8894202397866884
maxillary sinus,anatomy,702,Maxillary sinus,0.9819998544021893
hemispheric,anatomy,702,Segment of forebrain,0.6389438870593589
left temporal lobe,anatomy,688,Left temporal lobe,0.9885155852166093
left parietal lobe,anatomy,684,Left parietal lobe,0.9838558520678168
skullbase vasculature,anatomy,672,Vasculature of skull bone,0.8590321351860114
cortical sulci,anatomy,668,Interlobar cerebral sulcus,0.7868755582140861
carotid siphon region,anatomy,664,Left carotid siphon,0.7889209907965531
left cerebellar,anatomy,655,Left hemisphere of cerebellum,0.8553322209049448
intraparenchymal,anatomy,637,Lobule,0.5355194311503071
frontal,anatomy,631,Frontal part of head,0.8131944753173491
left frontal sinus,anatomy,626,Left frontal sinus,0.9758967145657913
extra axial,anatomy,623,Axial skeletal system,0.4905518145791321
right frontal sinus,anatomy,623,Right frontal sinus,0.9684537086917677
third ventricle,anatomy,615,Third ventricle,0.9720707771356273
falx,anatomy,605,Falx cerebri,0.5655415779506766
epidural,anatomy,597,Spinal epidural space,0.7945300158872122
septum,anatomy,596,Nasal septum,0.7030289632164933
right cerebellum,anatomy,596,Right hemisphere of cerebellum,0.9082542620250348
gray-white compartment,anatomy,593,Central gray substance of medulla,0.5797809734364215
orbital structures,anatomy,585,Orbital cavity,0.8650014414724903
right mastoid,anatomy,579,Right mastoid process,0.9505537843253629
left occipital,anatomy,578,Left occipitalis,0.856046859363583
brain stem,anatomy,577,Brainstem,0.882090627449346
left mastoid,anatomy,561,Left mastoid process,0.9527278993282372
left cerebellum,anatomy,560,Left hemisphere of cerebellum,0.8546490992411925
head,anatomy,556,Head,0.9855378662266789
cavernous carotid arteries,anatomy,548,Cavernous branch of internal carotid artery,0.8860025016031445
right cerebellar,anatomy,545,Right hemisphere of cerebellum,0.8881285276106122
skull / soft tissues,anatomy,544,Deep fascial system of head,0.6281938485335516
left cerebellar hemisphere,anatomy,532,Left hemisphere of cerebellum,0.8849901181717821
deep hemispheric,anatomy,532,Vasculature of telencephalon,0.5877631763826835
bony structures,anatomy,530,Bony part of bone organ,0.8831720154976287
right occipital,anatomy,522,Right occipitalis,0.8592224432719505
frontal lobes,anatomy,521,Frontal lobe,0.9722611426345004
brain parenchymal,anatomy,520,Cardinal segment of brain,0.7868157314868506
right cerebellar hemisphere,anatomy,518,Right hemisphere of cerebellum,0.9352567823474446
thalamus,anatomy,511,Thalamic complex,0.8624702054531433
bilateral basal ganglia,anatomy,500,Left thalamus,0.6151794941101693
bifrontal,anatomy,495,Frontal zone of longitudinal fissure,0.6234574668388109
extra-axial spaces,anatomy,492,Subarachnoid space,0.7189536040931082
extra-axial csf spaces,anatomy,489,Subarachnoid space of spinal cord,0.7859429645701774
parietal lobes,anatomy,472,Parietal lobe,0.9554630792499028
sphenoid,anatomy,468,Zone of sphenoid,0.8982950327629032
mastoid air-cells,anatomy,462,Mastoid air cell,0.968759765172715
nasal bone,anatomy,458,Nasal bone,0.9990945356478758
mastoid aircells,anatomy,455,Mastoid air cell,0.8659151479111439
csf containing spaces,anatomy,452,Subarachnoid space,0.8154034761532316
right frontal region,anatomy,451,Right frontalis,0.8645526124892192
vessel skull,anatomy,430,Vasculature of skull bone,0.846057186217039
cavum septum pellucidum,anatomy,429,Left half of septum pellucidum,0.7717210786753618
sella,anatomy,424,Sella turcica,0.9441602733668949
carotid,anatomy,424,Common carotid artery,0.7979470834686277
central,anatomy,423,Central zone of nerve,0.6883332682187941
left frontal region,anatomy,422,Left frontalis,0.8637175387221501
orbit soft tissues,anatomy,419,Superficial fascia of orbital part of face,0.7549810511563959
subcortical white matter regions,anatomy,418,Segment of white matter of neuraxis,0.831539573440144
right mca territory,anatomy,416,Right precentral sulcus,0.6182274204960085
right parietal scalp,anatomy,407,Right parietal zone of scalp,0.9330078021253763
tentorium,anatomy,402,Tentorium cerebelli,0.7235921685079267
dural,anatomy,401,Region of dura mater,0.7239342491062313
subfalcine,anatomy,399,Amiculum,0.43280722567170526
spinal canal,anatomy,399,Spinal epidural space,0.7867459178081028
left thalamic,anatomy,398,Left thalamus,0.9779773202702041
left parietal scalp,anatomy,394,Left parietal zone of scalp,0.9336273056918244
hemispheric white matter,anatomy,392,Segment of white matter of neuraxis,0.8380709154330214
temporal lobes,anatomy,391,Temporal lobe,0.9844118358112111
bilateral mastoid air cells,anatomy,385,Mastoid air cell,0.8951239746498416
scalp soft tissue,anatomy,382,Integument of scalp,0.8341948731561544
nasal septum,anatomy,378,Nasal septum,0.9986488097953481
tonsillar,anatomy,375,Palatine tonsil,0.9421504487956953
left maxillary,anatomy,367,Left maxilla,0.9517591340378078
right maxillary,anatomy,364,Right maxilla,0.9421901520729536
right thalamic,anatomy,363,Right thalamus,0.945110133626863
intraorbital fat,anatomy,357,Orbital fat body,0.6521082870130238
ventricle size,anatomy,355,Cerebral ventricle,0.6162880513163747
intraorbital,anatomy,352,Orbital cavity,0.5994058116064978
right temporal,anatomy,352,Right temporal part of head,0.8700814696266469
left hemisphere,anatomy,351,Left cerebral hemisphere,0.9143922559626323
cranium,anatomy,344,Neurocranium,0.8881878005876427
cerebral cortical,anatomy,344,Cerebral cortex,0.8936331620781114
tympanic cavities,anatomy,339,Tympanic cavity,0.8881366635839764
white matter regions,anatomy,338,Segment of white matter of neuraxis,0.8795332729976104
extracranial,anatomy,335,Cranial cavity,0.609396296798511
left temporal,anatomy,334,Left temporal part of head,0.8905008115300463
right mca,anatomy,334,Right occipitalis,0.6629403719884936
right hemisphere,anatomy,331,Right cerebral hemisphere,0.9243402210185432
bilateral middle ear cavities,anatomy,331,Right tympanic cavity,0.7632607013695938
right cerebral hemisphere,anatomy,329,Right cerebral hemisphere,0.9919565994167886
left cerebral hemisphere,anatomy,326,Left cerebral hemisphere,0.9890854941580134
occipital horns,anatomy,326,Occipital protuberance,0.7161661357933435
large vessels,anatomy,321,Systemic artery,0.5733789190376636
supratentorial white matter,anatomy,319,White matter of metencephalon,0.8295979623243795
ethmoid air cell,anatomy,318,Left anterior ethmoidal cell,0.8107449574357101
ventricular size,anatomy,314,Cerebral ventricle,0.5582372337700575
carotid artery,anatomy,310,External carotid artery,0.9051118773042365
right caudate head,anatomy,309,Right occipital pole,0.5204156907811431
left mca territory,anatomy,307,Left precentral sulcus,0.6231344237856976
vertebral artery,anatomy,306,Vertebral artery,0.98318777434321
parietal,anatomy,300,Parietal tuber,0.6600343627212877
bony skeleton,anatomy,296,Heterogeneous set of bones,0.8325291873188276
occipital lobes,anatomy,295,Occipital lobe,0.9350702146045837
posterior fossa structures,anatomy,294,Subarachnoid fossa,0.7698474506876068
supratentorial brain,anatomy,294,Oral mucosa of hard palate,0.8124493629182207
mastoid sinuses,anatomy,289,Mastoid antrum,0.8474291333829858
white matter tracts,anatomy,288,Set of white matter structures of neuraxis,0.8257385198296389
cerebellar hemispheres,anatomy,287,Cerebellar cortex,0.8531012279256899
internal carotid,anatomy,287,Internal carotid artery,0.8977419775792329
convexity,anatomy,285,Anatomical orifice,0.5510406429275434
right globe,anatomy,283,Right eyeball,0.9467487225896453
temporal horns,anatomy,283,Zone of temporal bone,0.7274609356388875
right maxillary antrum,anatomy,282,Right maxillary sinus,0.86439708647117
left mca,anatomy,281,Left mammillary artery,0.6834007835533614
basilar artery,anatomy,281,Basilar artery,0.9902560577217077
right-sided,anatomy,280,Right side of head,0.6339197142390349
frontal sinus,anatomy,279,Frontal sinus,0.9780624172204038
right parietal region,anatomy,274,Right parietal part of head,0.8927217405879194
right frontal bone,anatomy,273,Right side of frontal bone,0.9272323616109871
left caudate head,anatomy,273,Occipital horn of left lateral ventricle,0.5005726854996189
left globe,anatomy,271,Left eyeball,0.9302290688717322
cortex,anatomy,268,Cerebral cortex,0.7572322522708698
distal vertebral arteries,anatomy,267,Segment of vertebral artery,0.8432683755018274
right caudate,anatomy,267,Right lateral lacuna,0.5659362074717295
left frontal bone,anatomy,264,Left side of frontal bone,0.9303235282359011
left parietal region,anatomy,262,Left parietal part of head,0.8903204108352971
left orbit,anatomy,259,Left orbital compartment,0.862665705887136
occipital horn,anatomy,259,Occipital horn of lateral ventricle,0.745524863616611
temporal lobe,anatomy,258,Temporal lobe,0.9745665249637395
ethmoidal air cells,anatomy,256,Left anterior ethmoidal cell,0.7612715968718617
external auditory canal,anatomy,255,External ear,0.8733957035324359
upper chest,anatomy,254,Content of superior mediastinum,0.553780636638263
frontal horn,anatomy,253,Frontal pole,0.8110860630776717
lung apices,anatomy,253,Lobule,0.42191466599031313
left maxillary antrum,anatomy,252,Left maxillary sinus,0.8395048242330546
maxillary,anatomy,252,Maxilla,0.9236366216512871
carotid arteries,anatomy,247,Internal carotid artery,0.8951505162133266
left lentiform nucleus,anatomy,247,Nucleus of left lens,0.7587109991375836
right corona radiata,anatomy,245,Iridial part of right retina,0.5564815590469245
posterior scalp,anatomy,245,Scalp,0.8696287998754607
bilateral maxillary sinuses,anatomy,242,Left maxillary sinus,0.8688550480682266
extra-axial structures,anatomy,240,Axial skeletal system,0.6315898793244284
maxillary antra,anatomy,237,Maxillary sinus,0.8326206522654245
left corona radiata,anatomy,237,Artery of left tuber cinereum,0.5296816038678692
foramen magnum,anatomy,237,Neurocranium,0.6952581681803361
intracranial arterial,anatomy,235,Anterior cerebral artery,0.837877234754072
external capsule,anatomy,234,Capsule,0.8069482317802449
left caudate,anatomy,234,Left lateral lacuna,0.5808929691390382
right orbit,anatomy,233,Right orbital cavity,0.8695440944345209
vertebrae,anatomy,233,Axial skeletal system,0.7902269099654161
basal ganglial,anatomy,232,Nucleus of brain,0.7072114937278887
corpus callosum,anatomy,229,White matter of telencephalon,0.6851585732754032
carotid siphon regions,anatomy,228,Carotid siphon,0.7900463476135351
parietal lobe,anatomy,227,Parietal lobe,0.9831055674163107
cerebral hemispheric white matter,anatomy,227,White matter of telencephalon,0.8135086647576524
left frontoparietal,anatomy,226,Left frontal lobe,0.653301851928064
left-sided,anatomy,225,Left side of head,0.5641396709485275
right frontoparietal,anatomy,225,Right ventrolateral prefrontal cortex,0.6532212401033327
external auditory canals,anatomy,223,External ear,0.8776335527461784
left external capsule,anatomy,223,Capsule of left lens,0.8310264340165651
disc levels,anatomy,218,Decussation,0.48891092558661264
nasopharynx,anatomy,217,Nasopharynx,0.9716839899657805
frontal lobe,anatomy,216,Frontal lobe,0.9924203496226969
frontal scalp,anatomy,214,Scalp,0.8807198029161569
left vertebral artery,anatomy,214,Left vertebral artery,0.9727075547693782
left convexity,anatomy,212,Left angle of mouth,0.5867382730888413
orbits soft tissues,anatomy,211,Lateral wall of orbit,0.7362478902311028
imaged paranasal sinuses,anatomy,210,Paranasal sinus,0.7528801440346432
anterior falx,anatomy,209,Falx cerebri,0.6973791488612532
septum pellucidum,anatomy,209,Left half of septum pellucidum,0.8215578776369982
fourth ventricles,anatomy,208,Fourth ventricle,0.9707402515231925
temporal,anatomy,204,Temporal part of head,0.6503300854687281
visualized globes,anatomy,204,Eyeball,0.7757808277025441
right sphenoid,anatomy,204,Right sphenoidal sinus,0.8985655484992807
cisterna magna,anatomy,202,Superior cistern,0.9063457336046414
right sylvian fissure,anatomy,200,Subarachnoid fissure,0.7647210346503573
gray matter,anatomy,199,Subcortical gray matter,0.8885155335744656
right cerebral convexity,anatomy,198,Right cerebral crus,0.7884106539559357
third ventricles,anatomy,198,Third ventricle,0.9695893833291274
remaining sinuses,anatomy,198,Paranasal sinus,0.844340940785267
prevertebral,anatomy,197,Prevertebral part of vertebral artery,0.6484093618868974
right middle cerebral artery,anatomy,196,Right middle cerebral artery,0.9926822361767659
distal vertebral artery,anatomy,195,Vertebral artery,0.8765434388459362
left sphenoid,anatomy,195,Left greater wing of sphenoid,0.9041721017667667
vertebral body heights,anatomy,194,Axial skeletal system,0.4646227746448133
parenchymal brain,anatomy,193,Cardinal segment of brain,0.8290947242022224
left cerebral convexity,anatomy,193,Left cerebral crus,0.7898007930797379
occipital,anatomy,192,Occipital part of head,0.8456584590011389
intraaxial,anatomy,191,Anatomical compartment space,0.5708425209121901
interhemispheric fissure,anatomy,191,Cerebrocerebellar fissure,0.8532625984273023
sylvian fissures,anatomy,191,Subarachnoid fissure,0.776472439637281
frontal horn of the right lateral ventricle,anatomy,190,Frontal horn of right lateral ventricle,0.9424968884913902
insular ribbon,anatomy,189,Solitary tract,0.6145694512557254
left pons,anatomy,187,Pons,0.8307411363671977
right lentiform nucleus,anatomy,186,Nucleus of right lens,0.7888651626895203
intracranial vessels,anatomy,184,Cerebral vein,0.8262657639709818
configuration,anatomy,184,Organ cluster,0.5490749675002236
right external auditory canal,anatomy,182,Right external ear,0.8985460511059562
right side,anatomy,181,Right side of head,0.7041176190196122
cerebellar tonsils,anatomy,181,Vallecula of cerebellum,0.7181553157547841
left sylvian fissure,anatomy,181,Cerebrocerebellar fissure,0.7623914346396287
right tentorium,anatomy,180,Tentorium cerebelli,0.6505866954031909
large vessels of the skull base,anatomy,178,Vasculature of skull bone,0.7017142704380914
right ethmoid air cells,anatomy,176,Right posterior ethmoidal cell,0.8846926818344603
temporal horn,anatomy,176,Temporal horn of lateral ventricle,0.7650285805763445
right forehead,anatomy,176,Forehead,0.8177637887722143
bilateral periventricular,anatomy,173,Lateral ventricle,0.6030772148570189
intracranial contents,anatomy,172,Cavity of brain,0.7813645519752733
suprasellar cistern,anatomy,172,Basal cistern,0.7936281252402433
vertebral,anatomy,171,Axial skeletal system,0.7750856784415511
anterior limb of the right internal capsule,anatomy,170,Branch of right anterior choroidal artery to retrolentiform limb of right internal capsule,0.6380275114980036
right convexity,anatomy,170,Right angle of mouth,0.5871161459171892
forehead,anatomy,169,Forehead,0.9814497766006524
left ethmoid air cells,anatomy,169,Left posterior ethmoidal cell,0.8801301423851495
thalamic,anatomy,168,Thalamic complex,0.8751100851056484
right posterior parietal,anatomy,166,Right parietal part of head,0.7914989807082808
left external auditory canal,anatomy,166,Left external ear,0.8802811181782391
sylvian fissure,anatomy,165,Subarachnoid fissure,0.8025330814908859
intracranial structures,anatomy,165,Cranial cavity,0.8702121988264122
occipital lobe,anatomy,164,Occipital lobe,0.9557729504811895
right external capsule,anatomy,163,Capsule of right lens,0.8397659341399533
perivascular space,anatomy,163,White matter of left inferior transverse frontopolar gyrus,0.8132760358216123
nasal septal,anatomy,162,Nasal septum,0.9658183066747587
left frontal convexity,anatomy,162,Left side of frontal bone,0.7640217748356544
csf-containing spaces,anatomy,162,Subarachnoid space,0.7811260497661513
right pons,anatomy,161,Pons,0.7874410229808733
left forehead,anatomy,160,Forehead,0.8138897006729577
midline fourth ventricle,anatomy,160,Fourth ventricle,0.7989067632426777
cortical based,anatomy,159,Cerebral cortex,0.6194969837605094
right temporal bone,anatomy,159,Right temporal bone,0.9893273153874603
left tentorium,anatomy,158,Tentorium cerebelli,0.6483717263785813
right frontal convexity,anatomy,157,Right side of frontal bone,0.7907189392845979
frontal region,anatomy,157,Frontal part of head,0.9015603199928663
atlanto-occipital,anatomy,157,Occipitalis,0.6513764535624186
right frontal horn,anatomy,156,Right frontal pole,0.8567849563633652
left frontotemporal,anatomy,156,Left lateral frontobasal artery,0.7326919158172641
sella turcica,anatomy,156,Sella turcica,0.9956656677575234
cerebellopontine angle,anatomy,155,Horizontal fissure of cerebellum,0.7381697317053166
gray and white-matter differentiation,anatomy,154,Gray matter of neuraxis,0.6418000587249422
right frontotemporal,anatomy,152,Right frontalis,0.7233676426455814
left posterior parietal,anatomy,152,Left parietal part of head,0.7981733481845354
intradural vertebral arteries,anatomy,152,Intracranial part of vertebral artery,0.9056443961922263
subcutaneous scalp,anatomy,152,Subdivision of scalp,0.8750643732386019
midbrain,anatomy,152,Midbrain,0.9918981658870833
left temporal bone,anatomy,151,Left temporal bone,0.991136406555147
right mca distribution,anatomy,151,Right mammillary artery,0.5644257937729661
temporal bones,anatomy,150,Temporal bone,0.9851890012826469
thoracic inlet,anatomy,150,Vena comitantes of internal thoracic artery,0.5823949512834437
right middle cranial fossa,anatomy,149,Right temporal fossa,0.7989024898942506
regional soft tissues,anatomy,147,Organ region cluster,0.7445242087461093
pontine,anatomy,147,Brainstem,0.8315008876605717
cerebral ventricle,anatomy,146,Cerebral ventricle,0.9923295594952126
large vessel distribution,anatomy,145,Systemic artery,0.5908902986686168
left scalp,anatomy,145,Scalp,0.8496628016822625
frontal horn of the left lateral ventricle,anatomy,145,Frontal horn of left lateral ventricle,0.9573459162908062
left middle cranial fossa,anatomy,145,Left infratemporal fossa,0.7903615417373194
deep gray nuclei,anatomy,144,Gracile nucleus,0.7487886084610408
lateral ventricle,anatomy,144,Lateral ventricle,0.9963305155472657
extraocular muscles,anatomy,143,Extra-ocular muscle,0.9515355491231865
suboccipital,anatomy,143,Craniocervical region,0.7146449690278125
periorbital,anatomy,142,Peri-orbital region of face,0.862570966150314
both maxillary sinuses,anatomy,142,Left maxillary sinus,0.8732864437172895
distal left vertebral artery,anatomy,142,Left vertebral artery,0.8928249588467585
nasal bones,anatomy,140,Nasal bone,0.9893778188060769
soft tissue windows,anatomy,139,Anatomical orifice,0.6721747435393054
left internal capsule,anatomy,138,Capsule of left lens,0.8169340932419692
posterior right frontal lobe,anatomy,138,Right frontal lobe,0.9476838430636144
cerebral ventricle sizes,anatomy,137,Cerebral ventricle,0.7079773527870182
frontal horns,anatomy,137,Frontal bone,0.789776120576641
occipital horn of the left lateral ventricle,anatomy,136,Occipital horn of left lateral ventricle,0.9764442410101185
left middle cerebral artery,anatomy,135,Left middle cerebral artery,0.9980257379493808
grey-white matter junction,anatomy,133,White matter of telencephalon,0.6728988266692106
left frontal horn,anatomy,133,Left frontal pole,0.8525500183175102
ossicles,anatomy,133,Set of auditory ossicles,0.8894890580888277
right centrum semiovale,anatomy,133,Right arcuate eminence,0.6160502440701565
