Entity,IRI
Substantia propria of cornea,fma.fma58306
Solitary tract nuclear complex,fma.fma72242
Anterior ascending limb of lateral sulcus,fma.fma83759
Brodmann area 19 of lingual gyrus,fma.fma273326
Right anterior transverse temporal gyrus,fma.fma72691
Vasculature of bony part of right lacrimal bone,fma.fma314854
Integument of nose,fma.fma270153
Peduncular branch of left posterior cerebral artery,fma.fma50677
Orbital part of lacrimal gland,fma.fma59383
Left lingual gyrus,fma.fma72682
Proximal tendon of auricularis superior,fma.fma320834
Temporomandibular joint,fma.fma54832
Subarachnoid cistern,fma.fma83717
Content of right masticator compartment,fma.fma0329332
Meningeal branch of right occipital artery,fma.fma49619
Great cerebral vein,fma.fma50993
Posterior limb of right stapes,fma.fma270007
Integument of zygomatic part of left cheek,fma.fma224118
Vasculature of frontal bone,fma.fma234149
Ninth anterior intercostal vein,fma.fma4738
Set of heterogeneous anatomical structures,fma.fma78590
Trunk of medial branch of superior cerebellar artery,fma.fma86078
Neural network of right maxilla,fma.fma314893
Alveolodental segment 16,fma.fma289763
Vasculature of endosteum of vomer,fma.fma315475
Right levator veli palatini,fma.fma46728
Posterior part of zygomatic process of left temporal bone,fma.fma55421
Left inferior temporal sulcus,fma.fma275427
Ramus of mandible,fma.fma52828
Trunk of left external palatine vein,fma.fma316949
Left second anterior intercostal vein,fma.fma4794
Vasculature of external mandibular part of mouth,fma.fma289901
Sulcal segment of superior frontal gyrus,fma.fma275614
Right anterior parolfactory sulcus,fma.fma275307
Right sphenoparietal sinus,fma.fma51404
Belly of auricularis superior,fma.fma319989
Branch of right posterior communicating artery to right oculomotor nerve,fma.fma50452
Right seventh anterior intercostal vein,fma.fma4773
Alveolodental segment 11,fma.fma289753
Median glosso-epiglottic fold,fma.fma55039
Left pterygoid process,fma.fma54686
Trunk of right external palatine vein,fma.fma316947
Hindbrain segment of dura mater,fma.fma266180
Mucosa of left pharyngotympanic tube,fma.fma60111
White matter of medial frontal gyrus,fma.fma280543
Orbital part of right maxilla,fma.fma54672
White matter of right cerebral hemisphere,fma.fma260791
Belly of right temporoparietalis,fma.fma319887
Right auricular part of head,fma.fma58825
Right salpingopharyngeal fold,fma.fma54988
Skin of right auricular part of head,fma.fma70331
Mastoid air cell,fma.fma55800
Right masseteric artery,fma.fma49740
Conjunctival sac,fma.fma20291
Occipital horn of left lateral ventricle,fma.fma242366
Supra-orbital vein,fma.fma50904
Right superior parietal lobule,fma.fma72671
Left palatopharyngeal arch,fma.fma55029
Gray matter of right medial frontal gyrus,fma.fma273322
Sheath of right styloid process,fma.fma314603
Superficial fascia of left temporal part of head,fma.fma86607
Temple region of squamous part of temporal bone,fma.fma317803
Vasculature of periosteum of vomer,fma.fma315433
Rostral segment of medulla oblongata,fma.fma258708
White matter of right superior temporal gyrus,fma.fma270999
Gray matter of gyrus descendens of Ecker,fma.fma274646
Right supratrochlear artery,fma.fma50026
Subdivision of head proper,fma.fma58817
Anterior occipital sulcus,fma.fma75758
Left foramen rotundum,fma.fma54782
Head of superficial part of masseter,fma.fma319258
White matter of left precuneus,fma.fma271702
Mastoid part proper of petrous part of right temporal bone,fma.fma56086
Branch of right anterior choroidal artery to right substantia nigra,fma.fma50160
Trunk of meningeal branch of right vertebral artery,fma.fma302137
Trunk of vein of right pterygoid canal,fma.fma78193
Perpendicular plate proper of right palatine bone,fma.fma59172
Right modiolus,fma.fma304652
Skin of male human body,fma.fma269304
Cartilaginous part of right pharyngotympanic tube,fma.fma60059
Gray matter of right superior temporal gyrus,fma.fma270548
Posteromedial central branch of right posterior cerebral artery,fma.fma50660
Trunk of vena comitantes of left internal thoracic artery,fma.fma78132
Palatal side of maxillary gingiva,fma.fma289412
Gray matter of pons,fma.fma83921
Brodmann area 47 of left middle frontal gyrus,fma.fma271429
Pyramidal muscle of right auricle,fma.fma48978
Lower sternocleidomastoid branch of occipital artery,fma.fma49594
Head of auricularis posterior,fma.fma320300
Lumen of trunk of right internal carotid artery,fma.fma262461
Wall of left temporal fossa,fma.fma314555
Episcleral layer of eyeball,fma.fma58362
Dorsal tegmental nucleus,fma.fma72434
Mucosa of respiratory tract,fma.fma302092
Periosteum of temporal bone,fma.fma314867
Integumentary system,fma.fma74657
Vasculature of midbrain,fma.fma268513
Left ala of crista galli,fma.fma57446
Region of ventricular system of neuraxis,fma.fma242789
Posterior pole of eyeball,fma.fma58114
Intracranial branch of vertebral artery,fma.fma76264
Branch of anterior choroidal artery to posterior limb of internal capsule,fma.fma50119
Vein of right cochlear aqueduct,fma.fma50843
Left lateral sulcus,fma.fma275281
Wall of left common carotid artery,fma.fma66286
Lobule of left pinna,fma.fma60991
Brodmann area 10 of left superior frontal gyrus,fma.fma271444
Cartilage of left external acoustic meatus,fma.fma61300
Posterior marginal sulcus,fma.fma83781
Supra-auricular region of squamous part of left temporal bone,fma.fma317849
Vasculature of region of face,fma.fma74742
Left superior labial artery proper,fma.fma277680
Vein of right vestibular aqueduct,fma.fma52368
Right long posterior ciliary artery,fma.fma49957
Mucosa of lip,fma.fma302942
Ethmoid,fma.fma52740
Gray matter of right inferior temporal gyrus,fma.fma270560
Superior thyroid artery,fma.fma49472
Oculomotor sulcus,fma.fma83792
Bony part of left inferior nasal concha,fma.fma259751
Subdivision of face,fma.fma54393
Antitragus,fma.fma61001
Set of maxillary periodontia,fma.fma269577
First part of left subclavian artery proper,fma.fma4065
Trunk of right pharyngeal vein,fma.fma66676
Left palatoglossal arch,fma.fma55027
Tarsal plate of right upper eyelid,fma.fma59091
Medial branch of auricular branch of left posterior auricular artery,fma.fma79396
Mucosa of oral segment of left side of soft palate,fma.fma289687
Left intralingual sulcus,fma.fma275455
Ala of vomer,fma.fma57674
Occipital branch of posterior auricular artery,fma.fma49644
Bony part of nasal bone,fma.fma259403
Lateral occipital artery,fma.fma50633
Gyrus of occipital lobe,fma.fma274522
Horizontal plate of right palatine bone,fma.fma59139
Subdivision of conchal part of pinna,fma.fma61081
Belly of right frontalis,fma.fma319875
Skin of temporal part proper of head,fma.fma317821
Left scaphoid fossa,fma.fma84975
Temporal process of right parietal bone,fma.fma320930
Superior bulb of internal jugular vein,fma.fma50805
Left supra-orbital artery,fma.fma49975
Proximal tendon of oblique muscle of auricle,fma.fma319704
Lateral wall of orbit,fma.fma53080
Oropharyngeal tract,fma.fma317865
Right parotid fascia,fma.fma270191
Greater horn of hyoid bone,fma.fma59496
Periosteum of right inferior nasal concha,fma.fma259831
Inferior parietal lobule,fma.fma77536
Tarsal plate of left lower eyelid,fma.fma59090
Left intracingulate sulcus,fma.fma275459
Medulla part of fourth ventricle,fma.fma268180
Left parotid duct,fma.fma59867
Left deep auricular artery,fma.fma49691
Epithelium of left lens,fma.fma231395
Distal tendon of procerus,fma.fma319542
Dorsal longitudinal fasciculus of medulla,fma.fma72617
Right dorsal lingual vein,fma.fma50828
Deep temporal vein,fma.fma50954
Inferior frontal sulcus,fma.fma83757
Trunk of musculophrenic vein,fma.fma78133
Fibrous membrane of articular capsule of right temporomandibular joint,fma.fma57057
Skeletal system of left middle ear,fma.fma260396
Lower zone of body of hyoid bone,fma.fma295815
Tributary of superior thyroid vein,fma.fma77969
Posterior vestibular vein,fma.fma52434
Internal ear,fma.fma60909
Trunk of hypothalamic branch of posterior communicating artery,fma.fma76183
Belly of orbicularis oculi,fma.fma319861
Parotid tributary of pterygoid plexus,fma.fma50957
Cortex of left temporal lobe,fma.fma242213
Gray matter of cerebellum,fma.fma83924
Zone of sphenoid,fma.fma52866
Polar part of superior frontal gyrus,fma.fma70681
Petrous part of left temporal bone,fma.fma52876
Wall of right pharyngotympanic tube,fma.fma60070
Left substantia nigra,fma.fma73540
Synovial cavity of right temporomandibular joint,fma.fma57101
Right pontomesencephalic vein,fma.fma51337
Cephalic vein,fma.fma13324
Musculature of right cheek,fma.fma289624
Lobe of right submandibular gland,fma.fma60045
Cephalic part of common carotid artery,fma.fma84262
Periosteum of right lacrimal bone,fma.fma259819
Common carotid artery,fma.fma3939
Integument of zygomatic part of right cheek,fma.fma224116
Left side of maxillary alveolodental arch,fma.fma289705
Right anterior lacrimal crest,fma.fma57750
Medullary cavity of right maxilla,fma.fma314754
Alveolodental segment 9,fma.fma289749
Bony alveolar arch of right maxilla,fma.fma312856
Superficial fascia of temporal part of head,fma.fma86605
Right vestibulocochlear vein,fma.fma52415
Vein of left vestibular aqueduct,fma.fma52369
Left iris,fma.fma58237
Branch of anterior choroidal artery to lateral geniculate body,fma.fma50117
Capillary lamina of choroid,fma.fma58437
Wall of ventricular system of neuraxis,fma.fma242768
Glosso-epiglottic fold,fma.fma55038
Left side of internal nose,fma.fma59749
Tarsal plate of left upper eyelid,fma.fma59092
Subcortex of right cerebral hemisphere,fma.fma242184
Superior temporal vein,fma.fma51104
Eyelash of right lower eyelid,fma.fma59410
Vasculature of frontal part of head proper,fma.fma270081
Right fissura antitragohelicina,fma.fma61185
Short circumferential branch of left posterior cerebral artery,fma.fma50663
Ciliary part proper of orbicularis oculi,fma.fma63974
Horizontal plate proper of right palatine bone,fma.fma59205
White matter of left cuneus,fma.fma271073
Bony part of right parietal bone,fma.fma235064
Left peri-orbital region of face,fma.fma322174
Conjunctival fornix,fma.fma59016
Anterior polar zone of lens,fma.fma280137
Gray matter of right posterior orbital gyrus,fma.fma270518
Right condylar process of mandible,fma.fma52838
Distal tendon of right occipitalis,fma.fma319510
Endosteum of right lacrimal bone,fma.fma315001
Sweat gland of left lower eyelid,fma.fma59169
Esophageal tributary of right inferior thyroid vein,fma.fma62830
Lacrimal artery,fma.fma49927
Interlobar cerebral sulcus,fma.fma0327491
Set of all gray matter structures of neuraxis,fma.fma279787
Tract of brain,fma.fma83848
Medial medullary branch of vertebral artery,fma.fma50534
Inferior cerebellar vein,fma.fma51233
Orbital branch of left middle meningeal artery,fma.fma49730
Fascial sheath of eyeball,fma.fma58734
Left descending palatine artery,fma.fma49793
Superior palpebral arch,fma.fma50018
External carotid artery,fma.fma10635
Mouth,fma.fma49184
Posterior lateral nasal artery,fma.fma49808
Occipital segment of left fusiform gyrus,fma.fma274639
Styloid process of left temporal bone,fma.fma52879
Right polar frontal artery,fma.fma50345
Right dorsolateral sulcus of medulla oblongata,fma.fma275479
Precommunicating part of right posterior cerebral artery,fma.fma50639
Vasculature of bony part of occipital bone,fma.fma235080
Tributary of posterior external jugular vein,fma.fma52558
Right palatine tonsil,fma.fma54973
Right posterior subcentral sulcus,fma.fma275401
Temporal segment of right fusiform gyrus,fma.fma274628
Neural network of right nasal bone,fma.fma314901
Bone of parietal bone,fma.fma234989
Tributary of anterior jugular vein,fma.fma50857
Content of left temporal fossa compartment,fma.fma0329336
Left posterior nasal aperture,fma.fma59651
Right thalamoperforating artery,fma.fma50664
Orbital branch of middle meningeal artery,fma.fma49717
Meningeal branch of cerebral part of internal carotid artery,fma.fma67617
Zone of middle cerebral artery,fma.fma50080
Alveolar part of mandible,fma.fma52832
Trunk of sixth anterior intercostal vein,fma.fma78145
Left parietal bone,fma.fma52789
Palpebral conjunctiva of upper eyelid,fma.fma59026
Left ventrolateral sulcus of medulla oblongata,fma.fma275497
Precommunicating part of posterior cerebral artery,fma.fma50590
Neural tissue of diencephalon,fma.fma268527
Pineal body,fma.fma62033
Nasofrontal vein,fma.fma51729
Posterior medial choroidal artery,fma.fma50630
Trunk of left facial artery,fma.fma66451
Gray matter of substantia nigra,fma.fma271159
Intracranial part of left vertebral artery,fma.fma50504
Sweat gland of lower eyelid,fma.fma59165
Trunk of posterior inferior cerebellar artery,fma.fma86069
Intra-ocular part of optic nerve,fma.fma58711
Meningeal branch of occipital artery,fma.fma49618
White matter of orbitobasal segment of left frontal lobe,fma.fma274482
Parietal branch of right medial occipital artery,fma.fma50686
Ethmoidal crest of right palatine bone,fma.fma59162
Inferior part of body of right zygomatic bone,fma.fma318858
Right lateral glosso-epiglottic fold,fma.fma55216
Integument of zygomatic part of cheek,fma.fma224114
White matter of right straight gyrus,fma.fma270951
Superior central retinal artery,fma.fma51939
Trunk of parotid tributary of pterygoid plexus,fma.fma78195
Trunk of right superior thyroid vein,fma.fma66685
Lateral mesencephalic vein,fma.fma51341
Anterior inferior cerebellar artery,fma.fma50544
Neural network of left mandibular part proper of mouth,fma.fma314120
Right ethmoidal crest,fma.fma57753
Superficial fascia of auricular part of head,fma.fma86602
Temporal part of leptomeningeal sac,fma.fma318227
Gray matter of right lingual gyrus,fma.fma270634
Gray matter of right gyrus descendens of Ecker,fma.fma274650
Quadrilateral part of left sphenoidal concha,fma.fma54927
Left posterior orbital gyrus,fma.fma80188
Proximal tendon of alar part of right nasalis,fma.fma319558
Suprascapular vein,fma.fma14319
Crown of head,fma.fma0323761
Left posterior spinal artery,fma.fma50524
Cavity of left eyeball,fma.fma58248
Heterogeneous anatomical cluster,fma.fma64989
Left superior precentral sulcus,fma.fma275347
Fasciculus of brain,fma.fma83844
Right medial pterygoid,fma.fma49012
Epithelium of iris,fma.fma58517
Mucosa of left retromolar region,fma.fma313916
Trunk of left angular vein,fma.fma316904
Petrous part proper of left temporal bone,fma.fma55428
Palatine bone,fma.fma52746
Mucosa of left palatoglossal arch,fma.fma60033
Anterior perforating branch of anterior cerebral artery,fma.fma50314
Skin of left temple,fma.fma320490
Anterior branch of left posterior spinal artery,fma.fma86051
Left inferior pontine sulcus,fma.fma275471
Hindbrain,fma.fma67687
Right superior frontal gyrus,fma.fma72653
Left pericallosal artery,fma.fma50360
Set of eye and related structures,fma.fma75665
Trunk of left parotid vein,fma.fma316943
Anterior jugular vein,fma.fma13318
Retinal glial cell,fma.fma62111
Adult human body,fma.fma20394
Rod cell,fma.fma67747
Lunate sulcus,fma.fma83788
Sphenoidal rostrum,fma.fma54770
Ethmoidal vein,fma.fma51770
Left side of upper lip,fma.fma224402
Spine of helical part of left auricular cartilage,fma.fma320953
Brodmann area 46 of left middle frontal gyrus,fma.fma271573
Trunk of right deep cervical vein,fma.fma66713
Trunk of second anterior intercostal vein,fma.fma78141
Nose,fma.fma46472
Trunk of deep cervical vein,fma.fma66712
Posterior ascending limb of lateral sulcus,fma.fma83761
Sternocleidomastoid branch of left occipital artery,fma.fma49592
Medullary cavity of right lacrimal bone,fma.fma314788
Trunk of eleventh anterior intercostal vein,fma.fma78150
Intrinsic auricular muscle,fma.fma48967
White matter of middle frontal gyrus,fma.fma270921
Medial ligament of temporomandibular joint,fma.fma57074
Orbital part of left superior frontal gyrus,fma.fma276612
Segment of neuraxis,fma.fma256237
Content of left masticator compartment,fma.fma0329333
Inferior cornu of modiolus of left labial part of mouth,fma.fma319441
Tributary of dural venous sinus,fma.fma51152
Epimysium of orbicularis oculi,fma.fma47371
Lateral ligament of right malleus,fma.fma60891
Vasculature of periosteum of parietal bone,fma.fma315407
Right mastoid process,fma.fma52873
Chiasmatic branch of posterior communicating artery,fma.fma50411
Medullopontine sulcus,fma.fma83801
Anterior lens,fma.fma280169
Left medial pterygoid,fma.fma49013
Vermilion proper of lower lip,fma.fma286137
Basal lamina of choroid,fma.fma58438
Cavernous branch of internal carotid artery to wall of cavernous sinus,fma.fma49862
Maxilla,fma.fma9711
Left retro-auricular part of head,fma.fma322169
Subdivision of cavernous part of internal carotid artery,fma.fma70522
Lateral occipital gyrus,fma.fma61902
Right nasal bone,fma.fma53647
Left foramen ovale,fma.fma54784
Segment of skin of frontal part of head,fma.fma63881
Branch of left anterior choroidal artery to left substantia nigra,fma.fma50161
Deep palpebral part of right orbicularis oculi,fma.fma59423
Posterior temporal branch of lateral occipital artery,fma.fma50650
Helicis minor,fma.fma48971
Vertebral artery,fma.fma3956
Left superior tympanic artery,fma.fma49724
Anterior process of left malleus,fma.fma270045
Left ventrolateral prefrontal cortex,fma.fma276202
Distal tendon of deep part of masseter,fma.fma318846
Right temple,fma.fma320472
Skin of temple region of left temporal part of head,fma.fma317831
Lateral process of left malleus,fma.fma270041
Emissary vein,fma.fma50790
Vasculature of bony part of right inferior nasal concha,fma.fma314860
Palatine artery,fma.fma79205
Left sphenoidal lingula,fma.fma54759
Vasculature of endosteum of left maxilla,fma.fma315481
Medullary cavity of left temporal bone,fma.fma314749
Alveolar mucosa,fma.fma289360
Subdivision of helix,fma.fma320943
Vasculature of endosteum of right nasal bone,fma.fma315461
Lumen of arterial trunk,fma.fma262064
Right inferior pontine sulcus,fma.fma275469
Vasculature of right lacrimal bone,fma.fma259869
Circumoral muscle,fma.fma0327104
White matter of left anterior transverse temporal gyrus,fma.fma271017
Aponeurosis,fma.fma9722
Postcentral fissure of cerebellum,fma.fma83732
Left dorsal nasal artery,fma.fma50002
Eyelid,fma.fma54437
Distal zone of procerus,fma.fma320187
Content of right temporal fossa compartment,fma.fma0329335
Anterior part of soft palate,fma.fma59852
Trunk of internal carotid artery,fma.fma69315
Articular cartilage of right head of mandible,fma.fma57092
Right inferior frontal gyrus,fma.fma72657
Occipital branch of occipital artery,fma.fma49605
Skin of right temple,fma.fma320488
Right facial artery,fma.fma49550
Neural network of chin,fma.fma270135
Main nasal cavity,fma.fma59675
Infratentorial region of cranial cavity,fma.fma59675
Body of zygomatic bone,fma.fma289661
Left posterior lateral choroidal artery,fma.fma50675
Skin of ala of nose,fma.fma59534
Right sigmoid sinus,fma.fma51293
Posterior segment of paracentral lobule,fma.fma273511
Left frontalis,fma.fma46760
Left posterior ethmoidal cell,fma.fma57473
Inferomedial segment of left frontal lobe,fma.fma274371
Posteromedial central branch of left posterior cerebral artery,fma.fma50661
Antitragal part of auricular cartilage,fma.fma61355
Masticator space,fma.fma84976
Pontobulbar nucleus,fma.fma72608
Superficial fascia of left orbital part of face,fma.fma269987
Bony part of right zygomatic bone,fma.fma259737
Neural network of right palatine bone,fma.fma314915
Ventral reticulospinal tract,fma.fma72639
Left central retinal artery,fma.fma49881
Belly of oblique muscle of auricle,fma.fma320039
Transverse muscle of right auricle,fma.fma48984
Interthalamic adhesion,fma.fma74869
Trunk of left internal jugular vein,fma.fma79200
Ethmoidal sinus,fma.fma84115
Right sphenomandibular ligament,fma.fma57078
Trunk of right internal jugular vein,fma.fma79199
Skin of pinna of ear,fma.fma61315
Occipital zone of longitudinal fissure,fma.fma284466
Left third anterior intercostal vein,fma.fma4793
Periosteum of skull bone,fma.fma320750
Medullary cavity of zygomatic bone,fma.fma314780
Conchal crest of left palatine bone,fma.fma59158
Left fronto-orbital sulcus,fma.fma275367
White matter of left posterior transverse temporal gyrus,fma.fma271021
Presellar sphenoidal sinus,fma.fma54764
Tributary of posterior auricular vein,fma.fma52551
Left pterygoid fossa,fma.fma84972
Epimysium of right occipitalis,fma.fma319357
Gray matter of left superior parietal lobule,fma.fma270612
Right medial occipital artery,fma.fma50645
Right basal vein,fma.fma50991
Nasal part of lacrimal bone,fma.fma57619
Muscle body of left superior tarsal muscle,fma.fma318628
Epimysium of left occipitalis,fma.fma319359
Helical part of right auricular cartilage,fma.fma61353
Skin of left side of maxillary part of mouth,fma.fma59397
Left retina,fma.fma58303
Mucoid tissue,fma.fma20111
Substantia propria of sclera,fma.fma58365
Cuneiform part of vomer,fma.fma57677
Integument of right mandibular part proper of mouth,fma.fma314098
Right dorsolateral sulcus of spinal cord,fma.fma275503
Right posterior superior alveolar artery,fma.fma49758
Neural network of right auriculotemporal part of head,fma.fma270107
Left bony labyrinth,fma.fma60181
Neural network of inferior nasal concha,fma.fma314931
External part of mouth,fma.fma289695
Inferior part of body of left zygomatic bone,fma.fma318860
Head of malleus,fma.fma52761
Meningeal branch of right ascending pharyngeal artery,fma.fma49524
Network of trabecular spaces in bone tissue of nasal bone,fma.fma259409
Gray matter of neuraxis,fma.fma67242
Left procerus,fma.fma55611
Ventral tegmental nucleus,fma.fma72435
Tributary of superior sagittal sinus,fma.fma50977
Left occipitotemporal sulcus,fma.fma275293
Left superior pontine sulcus,fma.fma275317
Right orbitalis,fma.fma49042
Skin of upper eyelid,fma.fma24761
Inferior macular artery,fma.fma51905
Cricothyroid vein,fma.fma77970
Left occipital zone of scalp,fma.fma224010
Inferior lacrimal canaliculus,fma.fma59540
White matter of midbrain,fma.fma83936
Branch of left anterior choroidal artery to left optic radiation,fma.fma50141
Inferior segment of left lingual gyrus,fma.fma274624
Posterosuperior part proper of nasal cavity,fma.fma276137
Vein of left semicircular duct,fma.fma52409
Vasculature of periosteum of left nasal bone,fma.fma315425
Left lateral occipital gyrus,fma.fma72678
Left anterior temporal artery,fma.fma50384
Ciliary body,fma.fma58295
Branch of ophthalmic artery,fma.fma49872
Sternocleidomastoid branch of occipital branch of left posterior auricular artery,fma.fma79403
Deep fascial system of head,fma.fma320418
Left posterior temporal artery,fma.fma50460
Accessory branch of right middle meningeal artery,fma.fma49721
Right sublingual artery,fma.fma49544
Right ala of nose,fma.fma59521
Cuneocerebellar tract,fma.fma72637
Set of association fibers,fma.fma279780
Left antitragus,fma.fma61003
Trunk of right superior labial vein,fma.fma77962
Medial vestibular nucleus,fma.fma54611
Wall of right side of internal nose,fma.fma59754
Mucosa of region of nose,fma.fma85363
Subdivision of cranial dura mater,fma.fma266054
Anterior cerebral artery,fma.fma50028
Palatomaxillary suture,fma.fma52964
Middle part of external acoustic tube,fma.fma61306
Aqueous chamber of left eyeball,fma.fma321532
Triangular part of inferior frontal gyrus,fma.fma61980
Postcommunicating part of anterior cerebral artery,fma.fma50074
Central tegmental tract of midbrain,fma.fma72456
Intra-ocular part of right optic nerve,fma.fma58729
Right suprameatal spine,fma.fma54962
Inferior rostral sulcus,fma.fma83767
Interpeduncular cistern,fma.fma83718
Vasculature of left zygomatic bone,fma.fma259860
Pontine cistern,fma.fma83719
Ophthalmic artery,fma.fma49868
Palatine process proper of right maxilla,fma.fma59127
Trunk of right inferior labial vein,fma.fma77965
Left frontal pole,fma.fma272827
Tensor veli palatini branch of ascending palatine artery,fma.fma79237
Right infratemporal fossa,fma.fma0329340
Superior tympanic artery,fma.fma49720
Right external palatine vein,fma.fma50923
Sweat gland of right lower eyelid,fma.fma59168
Intraocular part of right central retinal artery,fma.fma49950
Trunk of right fifth anterior intercostal vein,fma.fma78163
Nasal part proper of frontal bone,fma.fma57421
Gray matter of metencephalon,fma.fma83920
Left orbital fat body,fma.fma59007
Palatine part of right palatopharyngeus,fma.fma60041
Sphenoid bone,fma.fma52736
Branch of anterior choroidal artery to anterior perforated substance,fma.fma50114
Brodmann area 11 of right inferior frontal gyrus,fma.fma271358
Bone of hyoid bone,fma.fma259807
Osseous skeleton of nose,fma.fma59654
Medullary cavity of parietal bone,fma.fma314735
Right superior epigastric vein,fma.fma4771
Dorsal part of of right lateral occipital gyrus,fma.fma274239
Alveolodental segment 17,fma.fma289765
Trunk of common carotid artery,fma.fma69323
Lateral branch of auricular branch of right posterior auricular artery,fma.fma79398
Branch of anterior choroidal artery to tail of caudate nucleus,fma.fma50122
Left pupil,fma.fma58254
Anterior segment of eyeball,fma.fma58865
Brodmann area 13 of left precentral gyrus,fma.fma273420
Right ciliary body,fma.fma58296
Wall of trunk of internal carotid artery,fma.fma85629
Posterior branch of left posterior spinal artery,fma.fma86053
Maxillary dental arcade,fma.fma55634
Tributary of central retinal vein,fma.fma51892
First part of subclavian artery proper,fma.fma4690
Tail of helical part of right auricular cartilage,fma.fma320955
Left interpeduncular vein,fma.fma51379
Skin of external nose,fma.fma24763
Brodmann area 18 of lingual gyrus,fma.fma271395
Integument of left auricular part of head,fma.fma224184
Peri-orbital region of face,fma.fma322171
Left maxilla,fma.fma53650
Musculature of head,fma.fma71287
Gray matter of right frontomarginal gyrus,fma.fma274500
Left ciliary body,fma.fma58297
Left superior postcentral sulcus,fma.fma275391
Vasculature of periosteum of sphenoid bone,fma.fma315415
Right frontal lobe,fma.fma72969
Buccal part of masseter,fma.fma314141
Left major sublingual duct,fma.fma59991
Peridental branch of left inferior alveolar artery,fma.fma49708
Left mastoid part of head,fma.fma61724
Right inferior ophthalmic vein,fma.fma51250
Left lacrimal canaliculus,fma.fma59583
Brodmann area 9 of right middle frontal gyrus,fma.fma271650
Vein of brainstem,fma.fma51335
Hyaloid fossa,fma.fma58843
Wall of right external acoustic tube,fma.fma61323
Distal tendon of auricularis posterior,fma.fma320288
Gray matter of telencephalon,fma.fma83911
Tarsal gland of upper eyelid,fma.fma59105
Submental artery,fma.fma49561
White matter of right inferior transverse frontopolar gyrus,fma.fma274459
